mention,start,end,label,tool,source_text_id,sentence,full_text,application_context
Indonesia,89,98,GPE,spacy,W4402718755,"Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020).","Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,317,324,GPE,spacy,W4402718755,"With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding.","Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,578,585,GPE,spacy,W4402718755,"Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap.","Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,732,739,GPE,spacy,W4402718755,"To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives.","Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,915,922,GPE,spacy,W4402718755,"This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta.","Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,1976,1983,GPE,spacy,W4402718755,"Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution.","Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,2357,2364,GPE,spacy,W4402718755,Climate-induced flooding disproportionately affects vulnerable communities in Jakarta.,"Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Jakarta,2454,2461,GPE,spacy,W4402718755,Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta.,"Because of its low-lying location, urbanization, and inadequate infrastructure, Jakarta (Indonesia) has experienced an increase in annual flooding events, rising from an average of five significant floods per year in the 1990s to over 20 annually (2010-2020). With climate change exacerbating extreme weather events, Jakarta encounters escalating risks of flooding. Although the recurrent flooding is exacerbated by non-point source (NPS) of pollution such as urban runoff and agricultural discharge that contribute to 40% of total pollutants leading to flood-related issues in Jakarta, none has investigated this research gap. To reflect its novelty, this work explores the implications of climate change on the annual flooding in Jakarta by focusing on NPS and analyzes their impacts from social perspectives. This work also underscores the implications of flooding on livelihoods, health, and social cohesion in Jakarta. Focus group discussion with affected residents was used to shed light on the coping strategies employed in response to recurrent floods, ranging from community-based initiatives to reliance on informal networks. The empirical findings show that the implications of flooding extend beyond physical damages. Displacement of communities, loss of livelihoods, disruption of essential services, and increased health risks are among the social impacts experienced by local residents. Vulnerable populations, including low-income communities residing in informal settlements, bear their consequences. Economic losses from flooding amount to USD 500 million annually, impacting over 1 million residents. However, recent interventions have led to a 15% reduction in peak flood levels and a 20% reduction in flood duration in affected areas. Community resilience has also improved, with a 25% increase in flood insurance coverage and a 20% rise in community response initiatives. Overall, this study highlights that climate change exacerbates annual flooding in Jakarta, significantly impacting vulnerable communities through NPS pollution. Addressing the challenges requires integrated approaches combining effective pollution control, resilient infrastructure, and community engagement to mitigate social and long-term environmental impacts. PRACTITIONER POINTS: Climate-induced flooding disproportionately affects vulnerable communities in Jakarta. Non-point source pollution from urban runoff contributes to the severity of flooding in Jakarta. Waterborne diseases, disruption of livelihoods, and reduced access to clean water are major concerns identified in the study. The study highlights the importance of community-based adaptation strategies to mitigate the impact of flooding and pollution.",Flood Risk Assessment and Management
Eastern Algeria,0,15,LOC,spacy,W4405514784,"Eastern Algeria, the wettest region of the country, has experienced a vast program of dam construction, distributed across basins marked by strong physio-climatic disparities.","Eastern Algeria, the wettest region of the country, has experienced a vast program of dam construction, distributed across basins marked by strong physio-climatic disparities. The hydrological functioning studied through the use of data from the regulation balance sheet for the period from September 1990 to August 2013, concerned a sample of 10 dams (capacity varying from 3 to 200 hm³) whose year of impoundment varies from 1939 to 1987. The results of the statistical and spectral analysis applied to two main terms of the water balance (inputs and rainfalls) indicate a strong relationship between the studied parameters, reflecting a net increase in dry years from September 1990 to August 2002, with a return of wet years from the year 2003, however, interrupted by other very dry years like that of 2007/2008. The outflows (outputs) of the dams reflect considerable water losses in the form of evaporation and also in the form of leaks on karstic sites. However, it is the flood phenomena that are at the origin of remarkable overflows and bottom outlets. In addition to these losses, there are significant variations in the regulated volume of dams, particularly in semi-arid zones and during periods of drought, particularly.",Flood Risk Assessment and Management
the Samangan Province,369,390,GPE,spacy,W4394752936,This research employs a combination of artificial neural networks and geographic information systems (GIS) to simulate flood-vulnerable locations in the Samangan Province of Afghanistan.,"Flood events are the most sophisticated and damaging natural hazard compared to other natural catastrophes. Every year, this hazard causes human-financial losses and damage to croplands in different locations worldwide. This research employs a combination of artificial neural networks and geographic information systems (GIS) to simulate flood-vulnerable locations in the Samangan Province of Afghanistan. First, flood-influencing factors, such as soil, slope layer, elevation, flow direction, and land use/cover, were evaluated as influential factors in simulating flood-prone areas. These factors were imported into GIS software. The Fishnet command was used to partition the information layers. Furthermore, each layer was converted into points, and this data was fed into the perceptron neural network along with the educational data obtained from Google Earth. In the perceptron neural network, the input layers have five neurons and 16 nodes, and the outputs showed that elevation had the lowest possible weight (R2 = 0.713) and flow direction had the highest weight (R2 = 0.913). This study demonstrated that combining GIS and artificial neural networks results in acceptable performance for simulating and modeling flood susceptible areas in different geographical locations and significantly helps prevent or reduce flood hazards.",Flood Risk Assessment and Management
Afghanistan,394,405,GPE,spacy,W4394752936,This research employs a combination of artificial neural networks and geographic information systems (GIS) to simulate flood-vulnerable locations in the Samangan Province of Afghanistan.,"Flood events are the most sophisticated and damaging natural hazard compared to other natural catastrophes. Every year, this hazard causes human-financial losses and damage to croplands in different locations worldwide. This research employs a combination of artificial neural networks and geographic information systems (GIS) to simulate flood-vulnerable locations in the Samangan Province of Afghanistan. First, flood-influencing factors, such as soil, slope layer, elevation, flow direction, and land use/cover, were evaluated as influential factors in simulating flood-prone areas. These factors were imported into GIS software. The Fishnet command was used to partition the information layers. Furthermore, each layer was converted into points, and this data was fed into the perceptron neural network along with the educational data obtained from Google Earth. In the perceptron neural network, the input layers have five neurons and 16 nodes, and the outputs showed that elevation had the lowest possible weight (R2 = 0.713) and flow direction had the highest weight (R2 = 0.913). This study demonstrated that combining GIS and artificial neural networks results in acceptable performance for simulating and modeling flood susceptible areas in different geographical locations and significantly helps prevent or reduce flood hazards.",Flood Risk Assessment and Management
Google Earth,853,865,LOC,spacy,W4394752936,"Furthermore, each layer was converted into points, and this data was fed into the perceptron neural network along with the educational data obtained from Google Earth.","Flood events are the most sophisticated and damaging natural hazard compared to other natural catastrophes. Every year, this hazard causes human-financial losses and damage to croplands in different locations worldwide. This research employs a combination of artificial neural networks and geographic information systems (GIS) to simulate flood-vulnerable locations in the Samangan Province of Afghanistan. First, flood-influencing factors, such as soil, slope layer, elevation, flow direction, and land use/cover, were evaluated as influential factors in simulating flood-prone areas. These factors were imported into GIS software. The Fishnet command was used to partition the information layers. Furthermore, each layer was converted into points, and this data was fed into the perceptron neural network along with the educational data obtained from Google Earth. In the perceptron neural network, the input layers have five neurons and 16 nodes, and the outputs showed that elevation had the lowest possible weight (R2 = 0.713) and flow direction had the highest weight (R2 = 0.913). This study demonstrated that combining GIS and artificial neural networks results in acceptable performance for simulating and modeling flood susceptible areas in different geographical locations and significantly helps prevent or reduce flood hazards.",Flood Risk Assessment and Management
the Greater Bay Area,612,632,LOC,spacy,W4400771583,"In this study, a framework to evaluate the correlation between LULC changes and flooding extents is proposed, mainly comprising: 1) classifying remote sensing time series, using different sources but adopting the same classifier, to obtain the LULC of the Greater Bay Area, China, over a one decade period; 2) designing flooding scenarios with different rainfall intensities, and using the soil conservation service curve number (SCS-CN) model and local equal volume method to extract the inundation extent of urban flooding; and 3) analyzing the influence of different data sources on flood simulation results, and calculating the correlations between LULC and inundation area over the decade to analyze the impact of LULC changes on urban flooding.","Urban flooding caused by heavy rainfall is a common natural hazard in cities globally. Impervious surfaces are often increased during urban development, but there is limited research on the impact of large-scale and long-term land use/land cover (LULC) changes on urban flooding, while considering the influence of using different remote sensing data sources. In this study, a framework to evaluate the correlation between LULC changes and flooding extents is proposed, mainly comprising: 1) classifying remote sensing time series, using different sources but adopting the same classifier, to obtain the LULC of the Greater Bay Area, China, over a one decade period; 2) designing flooding scenarios with different rainfall intensities, and using the soil conservation service curve number (SCS-CN) model and local equal volume method to extract the inundation extent of urban flooding; and 3) analyzing the influence of different data sources on flood simulation results, and calculating the correlations between LULC and inundation area over the decade to analyze the impact of LULC changes on urban flooding. The resulting correlation coefficients of water and built-up land are 0.93 and 0.42, and those of bare land, grassland, orchard, and forest are −0.40, −0.61, −0.57, and −0.75, respectively. The inundation derived by Sentinel and Landsat data showed around 99% consistency, while Landsat tends to derive more inundation areas, with the differences mainly scattered in flat areas.",Flood Risk Assessment and Management
China,634,639,GPE,spacy,W4400771583,"In this study, a framework to evaluate the correlation between LULC changes and flooding extents is proposed, mainly comprising: 1) classifying remote sensing time series, using different sources but adopting the same classifier, to obtain the LULC of the Greater Bay Area, China, over a one decade period; 2) designing flooding scenarios with different rainfall intensities, and using the soil conservation service curve number (SCS-CN) model and local equal volume method to extract the inundation extent of urban flooding; and 3) analyzing the influence of different data sources on flood simulation results, and calculating the correlations between LULC and inundation area over the decade to analyze the impact of LULC changes on urban flooding.","Urban flooding caused by heavy rainfall is a common natural hazard in cities globally. Impervious surfaces are often increased during urban development, but there is limited research on the impact of large-scale and long-term land use/land cover (LULC) changes on urban flooding, while considering the influence of using different remote sensing data sources. In this study, a framework to evaluate the correlation between LULC changes and flooding extents is proposed, mainly comprising: 1) classifying remote sensing time series, using different sources but adopting the same classifier, to obtain the LULC of the Greater Bay Area, China, over a one decade period; 2) designing flooding scenarios with different rainfall intensities, and using the soil conservation service curve number (SCS-CN) model and local equal volume method to extract the inundation extent of urban flooding; and 3) analyzing the influence of different data sources on flood simulation results, and calculating the correlations between LULC and inundation area over the decade to analyze the impact of LULC changes on urban flooding. The resulting correlation coefficients of water and built-up land are 0.93 and 0.42, and those of bare land, grassland, orchard, and forest are −0.40, −0.61, −0.57, and −0.75, respectively. The inundation derived by Sentinel and Landsat data showed around 99% consistency, while Landsat tends to derive more inundation areas, with the differences mainly scattered in flat areas.",Flood Risk Assessment and Management
−0.40,1255,1260,GPE,spacy,W4400771583,"The resulting correlation coefficients of water and built-up land are 0.93 and 0.42, and those of bare land, grassland, orchard, and forest are −0.40, −0.61, −0.57, and −0.75, respectively.","Urban flooding caused by heavy rainfall is a common natural hazard in cities globally. Impervious surfaces are often increased during urban development, but there is limited research on the impact of large-scale and long-term land use/land cover (LULC) changes on urban flooding, while considering the influence of using different remote sensing data sources. In this study, a framework to evaluate the correlation between LULC changes and flooding extents is proposed, mainly comprising: 1) classifying remote sensing time series, using different sources but adopting the same classifier, to obtain the LULC of the Greater Bay Area, China, over a one decade period; 2) designing flooding scenarios with different rainfall intensities, and using the soil conservation service curve number (SCS-CN) model and local equal volume method to extract the inundation extent of urban flooding; and 3) analyzing the influence of different data sources on flood simulation results, and calculating the correlations between LULC and inundation area over the decade to analyze the impact of LULC changes on urban flooding. The resulting correlation coefficients of water and built-up land are 0.93 and 0.42, and those of bare land, grassland, orchard, and forest are −0.40, −0.61, −0.57, and −0.75, respectively. The inundation derived by Sentinel and Landsat data showed around 99% consistency, while Landsat tends to derive more inundation areas, with the differences mainly scattered in flat areas.",Flood Risk Assessment and Management
Mekong,86,92,GPE,spacy,W4405480587,"Asian megadeltas, specifically the Ganges‐Brahmaputra‐Meghna, Irrawaddy, Chao Phraya, Mekong, and Red River deltas host half of the world's deltaic population and are vital for Asian countries' ecosystems and food production.","Asian megadeltas, specifically the Ganges‐Brahmaputra‐Meghna, Irrawaddy, Chao Phraya, Mekong, and Red River deltas host half of the world's deltaic population and are vital for Asian countries' ecosystems and food production. These deltas are extremely vulnerable to global change. Accelerating relative sea‐level rise, combined with rapid socio‐economic development intensifies these vulnerabilities and calls for a comprehensive understanding of current and future coastal flood dynamics. Here we provide a state‐of‐the‐art on the current knowledge and recent advances in quantifying and understanding the drivers of coastal flood‐related hazards in these deltas. We discuss the environmental and physical drivers, including climate influence, hydrology, oceanography, geomorphology, and geophysical processes and how they interact from short to long‐term changes, including during extreme events. We also jointly examine how human disturbances, with catchment interventions, land use changes and resource exploitations, contribute to coastal flooding in the deltas. Through a systems perspective, we characterize the current state of the deltaic systems and provide essential insights for shaping their sustainable future trajectories regarding the multifaceted challenges of coastal flooding.",Coastal and Marine Dynamics
Red River,98,107,LOC,spacy,W4405480587,"Asian megadeltas, specifically the Ganges‐Brahmaputra‐Meghna, Irrawaddy, Chao Phraya, Mekong, and Red River deltas host half of the world's deltaic population and are vital for Asian countries' ecosystems and food production.","Asian megadeltas, specifically the Ganges‐Brahmaputra‐Meghna, Irrawaddy, Chao Phraya, Mekong, and Red River deltas host half of the world's deltaic population and are vital for Asian countries' ecosystems and food production. These deltas are extremely vulnerable to global change. Accelerating relative sea‐level rise, combined with rapid socio‐economic development intensifies these vulnerabilities and calls for a comprehensive understanding of current and future coastal flood dynamics. Here we provide a state‐of‐the‐art on the current knowledge and recent advances in quantifying and understanding the drivers of coastal flood‐related hazards in these deltas. We discuss the environmental and physical drivers, including climate influence, hydrology, oceanography, geomorphology, and geophysical processes and how they interact from short to long‐term changes, including during extreme events. We also jointly examine how human disturbances, with catchment interventions, land use changes and resource exploitations, contribute to coastal flooding in the deltas. Through a systems perspective, we characterize the current state of the deltaic systems and provide essential insights for shaping their sustainable future trajectories regarding the multifaceted challenges of coastal flooding.",Coastal and Marine Dynamics
the Shillong Plateau,348,368,LOC,spacy,W4400799320,"This study presents a new set of geochemical and mineralogical data on mafic magmatic rocks from the Sylhet Trap of the Shillong Plateau, northeast India.","Mantle plumes related to Large Igneous Provinces have been linked to continental break‐up and validated by the outpouring of mafic‐ultramafic magmas that range from continental flood basalt magmatism to submarine plateau volcanism. This study presents a new set of geochemical and mineralogical data on mafic magmatic rocks from the Sylhet Trap of the Shillong Plateau, northeast India. The investigated mafic rocks (basalt and dolerite) are predominantly sub‐alkaline‐tholeiitic, composed of bytownite+labradorite and diopside+augite, with ophitic to sub‐ophitic and glomeroporphyritic textures, the dark interstitial region of much finer grains consisting of opaque minerals and devitrified glass. The mafic rocks of Sylhet Trap show light rare earth elements enrichment with (La/Yb) N ratio (1.92–2.86) and (La/Sm) N ratio (1.11–1.40), an almost flat pattern of heavy rare earth elements along with mild europium anomalies (Eu/Eu*= 0.94–1.11). Trace element characteristics suggest their affinity towards enriched mid‐oceanic ridge basalt and generated from low degree of partial melting of spinel source with minor involvement of crustal contamination. The similarity in geochemical characteristics of the investigated mafic rocks with the magmatism of Rajmahal Traps, eastern Peninsular India, Abor Volcanics, eastern Himalaya, along with Bunbury Basalt of western Australia and Cona Mafic exposed in southeastern Tibet, suggests their genetic linkage with mantle plume activities. Thus, we argue that the magmatic event of the Sylhet Trap is related to the Kerguelen mantle plume activity that played a significant role in the fragmentation of eastern Gondwana during the Lower Cretaceous period, giving rise to Greater India, Antarctica and northwest Australia.",Geological and Geochemical Analysis
